X,Y,Z
1,3,37
1,1,37
1,1,39
1,-1,39
-1,-1,39
-1,1,39
-1,1,37
-3,1,37
-3,-1,37
-1,-1,37
-1,-3,37
1,-3,37
1,-1,37
3,-1,37
3,1,37
3,1,35
3,3,35
3,3,33
3,5,33
1,5,33
1,7,33
-1,7,33
-1,7,31
-3,7,31
-3,5,31
-5,5,31
-5,3,31
-7,3,31
-7,1,31
-9,1,31
-9,-1,31
-7,-1,31
-7,-3,31
-5,-3,31
-5,-5,31
-3,-5,31
-3,-7,31
-1,-7,31
-1,-9,31
1,-9,31
1,-7,31
3,-7,31
3,-5,31
5,-5,31
5,-3,31
7,-3,31
7,-1,31
9,-1,31
9,1,31
9,1,29
9,3,29
9,3,27
9,5,27
7,5,27
7,7,27
5,7,27
5,9,27
3,9,27
3,11,27
1,11,27
1,13,27
-1,13,27
-1,13,25
-3,13,25
-3,11,25
-5,11,25
-5,9,25
-7,9,25
-7,7,25
-9,7,25
-9,5,25
-11,5,25
-11,3,25
-13,3,25
-13,1,25
-15,1,25
-15,-1,25
-13,-1,25
-13,-3,25
-11,-3,25
-11,-5,25
-9,-5,25
-9,-7,25
-7,-7,25
-7,-9,25
-5,-9,25
-5,-11,25
-3,-11,25
-3,-13,25
-1,-13,25
-1,-15,25
1,-15,25
1,-13,25
3,-13,25
3,-11,25
5,-11,25
5,-9,25
7,-9,25
7,-7,25
9,-7,25
9,-5,25
11,-5,25
11,-3,25
13,-3,25
13,-1,25
15,-1,25
15,1,25
15,1,23
15,3,23
15,3,21
15,5,21
13,5,21
13,7,21
11,7,21
11,9,21
9,9,21
9,11,21
7,11,21
7,13,21
5,13,21
5,15,21
3,15,21
3,17,21
1,17,21
1,19,21
-1,19,21
-1,19,19
-3,19,19
-3,17,19
-5,17,19
-5,15,19
-7,15,19
-7,13,19
-9,13,19
-9,11,19
-11,11,19
-11,9,19
-13,9,19
-13,7,19
-15,7,19
-15,5,19
-17,5,19
-17,3,19
-19,3,19
-19,1,19
-21,1,19
-21,-1,19
-19,-1,19
-19,-3,19
-17,-3,19
-17,-5,19
-15,-5,19
-15,-7,19
-13,-7,19
-13,-9,19
-11,-9,19
-11,-11,19
-9,-11,19
-9,-13,19
-7,-13,19
-7,-15,19
-5,-15,19
-5,-17,19
-3,-17,19
-3,-19,19
-1,-19,19
-1,-21,19
1,-21,19
1,-19,19
3,-19,19
3,-17,19
5,-17,19
5,-15,19
7,-15,19
7,-13,19
9,-13,19
9,-11,19
11,-11,19
11,-9,19
13,-9,19
13,-7,19
15,-7,19
15,-5,19
17,-5,19
17,-3,19
19,-3,19
19,-1,19
21,-1,19
21,1,19
21,1,17
21,3,17
21,3,15
21,5,15
19,5,15
19,7,15
17,7,15
17,9,15
15,9,15
15,11,15
13,11,15
13,13,15
11,13,15
11,15,15
9,15,15
9,17,15
7,17,15
7,19,15
5,19,15
5,21,15
3,21,15
3,23,15
1,23,15
1,25,15
-1,25,15
-1,25,13
-3,25,13
-3,23,13
-5,23,13
-5,21,13
-7,21,13
-7,19,13
-9,19,13
-9,17,13
-11,17,13
-11,15,13
-13,15,13
-13,13,13
-15,13,13
-15,11,13
-17,11,13
-17,9,13
-19,9,13
-19,7,13
-21,7,13
-21,5,13
-23,5,13
-23,3,13
-25,3,13
-25,1,13
-27,1,13
-27,-1,13
-25,-1,13
-25,-3,13
-23,-3,13
-23,-5,13
-21,-5,13
-21,-7,13
-19,-7,13
-19,-9,13
-17,-9,13
-17,-11,13
-15,-11,13
-15,-13,13
-13,-13,13
-13,-15,13
-11,-15,13
-11,-17,13
-9,-17,13
-9,-19,13
-7,-19,13
-7,-21,13
-5,-21,13
-5,-23,13
-3,-23,13
-3,-25,13
-1,-25,13
-1,-27,13
1,-27,13
1,-25,13
3,-25,13
3,-23,13
5,-23,13
5,-21,13
7,-21,13
7,-19,13
9,-19,13
9,-17,13
11,-17,13
11,-15,13
13,-15,13
13,-13,13
15,-13,13
15,-11,13
17,-11,13
17,-9,13
19,-9,13
19,-7,13
21,-7,13
21,-5,13
23,-5,13
23,-3,13
25,-3,13
25,-1,13
27,-1,13
27,1,13
27,1,11
27,3,11
27,3,9
27,5,9
25,5,9
25,7,9
23,7,9
23,9,9
21,9,9
21,11,9
19,11,9
19,13,9
17,13,9
17,15,9
15,15,9
15,17,9
13,17,9
13,19,9
11,19,9
11,21,9
9,21,9
9,23,9
7,23,9
7,25,9
5,25,9
5,27,9
3,27,9
3,29,9
1,29,9
1,31,9
-1,31,9
-1,31,7
-3,31,7
-3,29,7
-5,29,7
-5,27,7
-7,27,7
-7,25,7
-9,25,7
-9,23,7
-11,23,7
-11,21,7
-13,21,7
-13,19,7
-15,19,7
-15,17,7
-17,17,7
-17,15,7
-19,15,7
-19,13,7
-21,13,7
-21,11,7
-23,11,7
-23,9,7
-25,9,7
-25,7,7
-27,7,7
-27,5,7
-29,5,7
-29,3,7
-31,3,7
-31,1,7
-33,1,7
-33,-1,7
-31,-1,7
-31,-3,7
-29,-3,7
-29,-5,7
-27,-5,7
-27,-7,7
-25,-7,7
-25,-9,7
-23,-9,7
-23,-11,7
-21,-11,7
-21,-13,7
-19,-13,7
-19,-15,7
-17,-15,7
-17,-17,7
-15,-17,7
-15,-19,7
-13,-19,7
-13,-21,7
-11,-21,7
-11,-23,7
-9,-23,7
-9,-25,7
-7,-25,7
-7,-27,7
-5,-27,7
-5,-29,7
-3,-29,7
-3,-31,7
-1,-31,7
-1,-33,7
1,-33,7
1,-31,7
3,-31,7
3,-29,7
5,-29,7
5,-27,7
7,-27,7
7,-25,7
9,-25,7
9,-23,7
11,-23,7
11,-21,7
13,-21,7
13,-19,7
15,-19,7
15,-17,7
17,-17,7
17,-15,7
19,-15,7
19,-13,7
21,-13,7
21,-11,7
23,-11,7
23,-9,7
25,-9,7
25,-7,7
27,-7,7
27,-5,7
29,-5,7
29,-3,7
31,-3,7
31,-1,7
33,-1,7
33,1,7
33,1,5
33,3,5
33,3,3
33,5,3
31,5,3
31,7,3
29,7,3
29,9,3
27,9,3
27,11,3
25,11,3
25,13,3
23,13,3
23,15,3
21,15,3
21,17,3
19,17,3
19,19,3
17,19,3
17,21,3
15,21,3
15,23,3
13,23,3
13,25,3
11,25,3
11,27,3
9,27,3
9,29,3
7,29,3
7,31,3
5,31,3
5,33,3
3,33,3
3,35,3
1,35,3
1,37,3
-1,37,3
-1,37,1
-3,37,1
-3,35,1
-5,35,1
-5,33,1
-7,33,1
-7,31,1
-9,31,1
-9,29,1
-11,29,1
-11,27,1
-13,27,1
-13,25,1
-15,25,1
-15,23,1
-17,23,1
-17,21,1
-19,21,1
-19,19,1
-21,19,1
-21,17,1
-23,17,1
-23,15,1
-25,15,1
-25,13,1
-27,13,1
-27,11,1
-29,11,1
-29,9,1
-31,9,1
-31,7,1
-33,7,1
-33,5,1
-35,5,1
-35,3,1
-37,3,1
-37,1,1
-39,1,1
-39,-1,1
-37,-1,1
-37,-3,1
-35,-3,1
-35,-5,1
-33,-5,1
-33,-7,1
-31,-7,1
-31,-9,1
-29,-9,1
-29,-11,1
-27,-11,1
-27,-13,1
-25,-13,1
-25,-15,1
-23,-15,1
-23,-17,1
-21,-17,1
-21,-19,1
-19,-19,1
-19,-21,1
-17,-21,1
-17,-23,1
-15,-23,1
-15,-25,1
-13,-25,1
-13,-27,1
-11,-27,1
-11,-29,1
-9,-29,1
-9,-31,1
-7,-31,1
-7,-33,1
-5,-33,1
-5,-35,1
-3,-35,1
-3,-37,1
-1,-37,1
-1,-39,1
1,-39,1
1,-37,1
3,-37,1
3,-35,1
5,-35,1
5,-33,1
7,-33,1
7,-31,1
9,-31,1
9,-29,1
11,-29,1
11,-27,1
13,-27,1
13,-25,1
15,-25,1
15,-23,1
17,-23,1
17,-21,1
19,-21,1
19,-19,1
21,-19,1
21,-17,1
23,-17,1
23,-15,1
25,-15,1
25,-13,1
27,-13,1
27,-11,1
29,-11,1
29,-9,1
31,-9,1
31,-7,1
33,-7,1
33,-5,1
35,-5,1
35,-3,1
37,-3,1
37,-1,1
39,-1,1
39,1,1
39,1,-1
39,-1,-1
37,-1,-1
37,-3,-1
35,-3,-1
35,-5,-1
33,-5,-1
33,-7,-1
31,-7,-1
31,-9,-1
29,-9,-1
29,-11,-1
27,-11,-1
27,-13,-1
25,-13,-1
25,-15,-1
23,-15,-1
23,-17,-1
21,-17,-1
21,-19,-1
19,-19,-1
19,-21,-1
17,-21,-1
17,-23,-1
15,-23,-1
15,-25,-1
13,-25,-1
13,-27,-1
11,-27,-1
11,-29,-1
9,-29,-1
9,-31,-1
7,-31,-1
7,-33,-1
5,-33,-1
5,-35,-1
3,-35,-1
3,-37,-1
1,-37,-1
1,-39,-1
-1,-39,-1
-1,-37,-1
-3,-37,-1
-3,-35,-1
-5,-35,-1
-5,-33,-1
-7,-33,-1
-7,-31,-1
-9,-31,-1
-9,-29,-1
-11,-29,-1
-11,-27,-1
-13,-27,-1
-13,-25,-1
-15,-25,-1
-15,-23,-1
-17,-23,-1
-17,-21,-1
-19,-21,-1
-19,-19,-1
-21,-19,-1
-21,-17,-1
-23,-17,-1
-23,-15,-1
-25,-15,-1
-25,-13,-1
-27,-13,-1
-27,-11,-1
-29,-11,-1
-29,-9,-1
-31,-9,-1
-31,-7,-1
-33,-7,-1
-33,-5,-1
-35,-5,-1
-35,-3,-1
-37,-3,-1
-37,-1,-1
-39,-1,-1
-39,1,-1
-37,1,-1
-37,3,-1
-35,3,-1
-35,5,-1
-33,5,-1
-33,7,-1
-31,7,-1
-31,9,-1
-29,9,-1
-29,11,-1
-27,11,-1
-27,13,-1
-25,13,-1
-25,15,-1
-23,15,-1
-23,17,-1
-21,17,-1
-21,19,-1
-19,19,-1
-19,21,-1
-17,21,-1
-17,23,-1
-15,23,-1
-15,25,-1
-13,25,-1
-13,27,-1
-11,27,-1
-11,29,-1
-9,29,-1
-9,31,-1
-7,31,-1
-7,33,-1
-5,33,-1
-5,35,-1
-3,35,-1
-3,37,-1
-1,37,-1
-1,37,-3
1,37,-3
1,35,-3
3,35,-3
3,33,-3
5,33,-3
5,31,-3
7,31,-3
7,29,-3
9,29,-3
9,27,-3
11,27,-3
11,25,-3
13,25,-3
13,23,-3
15,23,-3
15,21,-3
17,21,-3
17,19,-3
19,19,-3
19,17,-3
21,17,-3
21,15,-3
23,15,-3
23,13,-3
25,13,-3
25,11,-3
27,11,-3
27,9,-3
29,9,-3
29,7,-3
31,7,-3
31,5,-3
33,5,-3
33,3,-3
33,3,-5
33,1,-5
33,1,-7
33,-1,-7
31,-1,-7
31,-3,-7
29,-3,-7
29,-5,-7
27,-5,-7
27,-7,-7
25,-7,-7
25,-9,-7
23,-9,-7
23,-11,-7
21,-11,-7
21,-13,-7
19,-13,-7
19,-15,-7
17,-15,-7
17,-17,-7
15,-17,-7
15,-19,-7
13,-19,-7
13,-21,-7
11,-21,-7
11,-23,-7
9,-23,-7
9,-25,-7
7,-25,-7
7,-27,-7
5,-27,-7
5,-29,-7
3,-29,-7
3,-31,-7
1,-31,-7
1,-33,-7
-1,-33,-7
-1,-31,-7
-3,-31,-7
-3,-29,-7
-5,-29,-7
-5,-27,-7
-7,-27,-7
-7,-25,-7
-9,-25,-7
-9,-23,-7
-11,-23,-7
-11,-21,-7
-13,-21,-7
-13,-19,-7
-15,-19,-7
-15,-17,-7
-17,-17,-7
-17,-15,-7
-19,-15,-7
-19,-13,-7
-21,-13,-7
-21,-11,-7
-23,-11,-7
-23,-9,-7
-25,-9,-7
-25,-7,-7
-27,-7,-7
-27,-5,-7
-29,-5,-7
-29,-3,-7
-31,-3,-7
-31,-1,-7
-33,-1,-7
-33,1,-7
-31,1,-7
-31,3,-7
-29,3,-7
-29,5,-7
-27,5,-7
-27,7,-7
-25,7,-7
-25,9,-7
-23,9,-7
-23,11,-7
-21,11,-7
-21,13,-7
-19,13,-7
-19,15,-7
-17,15,-7
-17,17,-7
-15,17,-7
-15,19,-7
-13,19,-7
-13,21,-7
-11,21,-7
-11,23,-7
-9,23,-7
-9,25,-7
-7,25,-7
-7,27,-7
-5,27,-7
-5,29,-7
-3,29,-7
-3,31,-7
-1,31,-7
-1,31,-9
1,31,-9
1,29,-9
3,29,-9
3,27,-9
5,27,-9
5,25,-9
7,25,-9
7,23,-9
9,23,-9
9,21,-9
11,21,-9
11,19,-9
13,19,-9
13,17,-9
15,17,-9
15,15,-9
17,15,-9
17,13,-9
19,13,-9
19,11,-9
21,11,-9
21,9,-9
23,9,-9
23,7,-9
25,7,-9
25,5,-9
27,5,-9
27,3,-9
27,3,-11
27,1,-11
27,1,-13
27,-1,-13
25,-1,-13
25,-3,-13
23,-3,-13
23,-5,-13
21,-5,-13
21,-7,-13
19,-7,-13
19,-9,-13
17,-9,-13
17,-11,-13
15,-11,-13
15,-13,-13
13,-13,-13
13,-15,-13
11,-15,-13
11,-17,-13
9,-17,-13
9,-19,-13
7,-19,-13
7,-21,-13
5,-21,-13
5,-23,-13
3,-23,-13
3,-25,-13
1,-25,-13
1,-27,-13
-1,-27,-13
-1,-25,-13
-3,-25,-13
-3,-23,-13
-5,-23,-13
-5,-21,-13
-7,-21,-13
-7,-19,-13
-9,-19,-13
-9,-17,-13
-11,-17,-13
-11,-15,-13
-13,-15,-13
-13,-13,-13
-15,-13,-13
-15,-11,-13
-17,-11,-13
-17,-9,-13
-19,-9,-13
-19,-7,-13
-21,-7,-13
-21,-5,-13
-23,-5,-13
-23,-3,-13
-25,-3,-13
-25,-1,-13
-27,-1,-13
-27,1,-13
-25,1,-13
-25,3,-13
-23,3,-13
-23,5,-13
-21,5,-13
-21,7,-13
-19,7,-13
-19,9,-13
-17,9,-13
-17,11,-13
-15,11,-13
-15,13,-13
-13,13,-13
-13,15,-13
-11,15,-13
-11,17,-13
-9,17,-13
-9,19,-13
-7,19,-13
-7,21,-13
-5,21,-13
-5,23,-13
-3,23,-13
-3,25,-13
-1,25,-13
-1,25,-15
1,25,-15
1,23,-15
3,23,-15
3,21,-15
5,21,-15
5,19,-15
7,19,-15
7,17,-15
9,17,-15
9,15,-15
11,15,-15
11,13,-15
13,13,-15
13,11,-15
15,11,-15
15,9,-15
17,9,-15
17,7,-15
19,7,-15
19,5,-15
21,5,-15
21,3,-15
21,3,-17
21,1,-17
21,1,-19
21,-1,-19
19,-1,-19
19,-3,-19
17,-3,-19
17,-5,-19
15,-5,-19
15,-7,-19
13,-7,-19
13,-9,-19
11,-9,-19
11,-11,-19
9,-11,-19
9,-13,-19
7,-13,-19
7,-15,-19
5,-15,-19
5,-17,-19
3,-17,-19
3,-19,-19
1,-19,-19
1,-21,-19
-1,-21,-19
-1,-19,-19
-3,-19,-19
-3,-17,-19
-5,-17,-19
-5,-15,-19
-7,-15,-19
-7,-13,-19
-9,-13,-19
-9,-11,-19
-11,-11,-19
-11,-9,-19
-13,-9,-19
-13,-7,-19
-15,-7,-19
-15,-5,-19
-17,-5,-19
-17,-3,-19
-19,-3,-19
-19,-1,-19
-21,-1,-19
-21,1,-19
-19,1,-19
-19,3,-19
-17,3,-19
-17,5,-19
-15,5,-19
-15,7,-19
-13,7,-19
-13,9,-19
-11,9,-19
-11,11,-19
-9,11,-19
-9,13,-19
-7,13,-19
-7,15,-19
-5,15,-19
-5,17,-19
-3,17,-19
-3,19,-19
-1,19,-19
-1,19,-21
1,19,-21
1,17,-21
3,17,-21
3,15,-21
5,15,-21
5,13,-21
7,13,-21
7,11,-21
9,11,-21
9,9,-21
11,9,-21
11,7,-21
13,7,-21
13,5,-21
15,5,-21
15,3,-21
15,3,-23
15,1,-23
15,1,-25
15,-1,-25
13,-1,-25
13,-3,-25
11,-3,-25
11,-5,-25
9,-5,-25
9,-7,-25
7,-7,-25
7,-9,-25
5,-9,-25
5,-11,-25
3,-11,-25
3,-13,-25
1,-13,-25
1,-15,-25
-1,-15,-25
-1,-13,-25
-3,-13,-25
-3,-11,-25
-5,-11,-25
-5,-9,-25
-7,-9,-25
-7,-7,-25
-9,-7,-25
-9,-5,-25
-11,-5,-25
-11,-3,-25
-13,-3,-25
-13,-1,-25
-15,-1,-25
-15,1,-25
-13,1,-25
-13,3,-25
-11,3,-25
-11,5,-25
-9,5,-25
-9,7,-25
-7,7,-25
-7,9,-25
-5,9,-25
-5,11,-25
-3,11,-25
-3,13,-25
-1,13,-25
-1,13,-27
1,13,-27
1,11,-27
3,11,-27
3,9,-27
5,9,-27
5,7,-27
7,7,-27
7,5,-27
9,5,-27
9,3,-27
9,3,-29
9,1,-29
9,1,-31
9,-1,-31
7,-1,-31
7,-3,-31
5,-3,-31
5,-5,-31
3,-5,-31
3,-7,-31
1,-7,-31
1,-9,-31
-1,-9,-31
-1,-7,-31
-3,-7,-31
-3,-5,-31
-5,-5,-31
-5,-3,-31
-7,-3,-31
-7,-1,-31
-9,-1,-31
-9,1,-31
-7,1,-31
-7,3,-31
-5,3,-31
-5,5,-31
-3,5,-31
-3,7,-31
-1,7,-31
-1,7,-33
1,7,-33
1,5,-33
3,5,-33
3,3,-33
3,3,-35
1,3,-35
1,5,-35
-1,5,-35
-1,5,-33
-3,5,-33
-3,3,-33
-5,3,-33
-5,1,-33
-7,1,-33
-7,-1,-33
-5,-1,-33
-5,-3,-33
-3,-3,-33
-3,-5,-33
-1,-5,-33
-1,-7,-33
1,-7,-33
1,-5,-33
3,-5,-33
3,-3,-33
5,-3,-33
5,-1,-33
7,-1,-33
7,1,-33
7,1,-31
7,3,-31
7,3,-29
7,5,-29
5,5,-29
5,7,-29
3,7,-29
3,9,-29
1,9,-29
1,11,-29
-1,11,-29
-1,11,-27
-3,11,-27
-3,9,-27
-5,9,-27
-5,7,-27
-7,7,-27
-7,5,-27
-9,5,-27
-9,3,-27
-11,3,-27
-11,1,-27
-13,1,-27
-13,-1,-27
-11,-1,-27
-11,-3,-27
-9,-3,-27
-9,-5,-27
-7,-5,-27
-7,-7,-27
-5,-7,-27
-5,-9,-27
-3,-9,-27
-3,-11,-27
-1,-11,-27
-1,-13,-27
1,-13,-27
1,-11,-27
3,-11,-27
3,-9,-27
5,-9,-27
5,-7,-27
7,-7,-27
7,-5,-27
9,-5,-27
9,-3,-27
11,-3,-27
11,-1,-27
13,-1,-27
13,1,-27
13,1,-25
13,3,-25
13,3,-23
13,5,-23
11,5,-23
11,7,-23
9,7,-23
9,9,-23
7,9,-23
7,11,-23
5,11,-23
5,13,-23
3,13,-23
3,15,-23
1,15,-23
1,17,-23
-1,17,-23
-1,17,-21
-3,17,-21
-3,15,-21
-5,15,-21
-5,13,-21
-7,13,-21
-7,11,-21
-9,11,-21
-9,9,-21
-11,9,-21
-11,7,-21
-13,7,-21
-13,5,-21
-15,5,-21
-15,3,-21
-17,3,-21
-17,1,-21
-19,1,-21
-19,-1,-21
-17,-1,-21
-17,-3,-21
-15,-3,-21
-15,-5,-21
-13,-5,-21
-13,-7,-21
-11,-7,-21
-11,-9,-21
-9,-9,-21
-9,-11,-21
-7,-11,-21
-7,-13,-21
-5,-13,-21
-5,-15,-21
-3,-15,-21
-3,-17,-21
-1,-17,-21
-1,-19,-21
1,-19,-21
1,-17,-21
3,-17,-21
3,-15,-21
5,-15,-21
5,-13,-21
7,-13,-21
7,-11,-21
9,-11,-21
9,-9,-21
11,-9,-21
11,-7,-21
13,-7,-21
13,-5,-21
15,-5,-21
15,-3,-21
17,-3,-21
17,-1,-21
19,-1,-21
19,1,-21
19,1,-19
19,3,-19
19,3,-17
19,5,-17
17,5,-17
17,7,-17
15,7,-17
15,9,-17
13,9,-17
13,11,-17
11,11,-17
11,13,-17
9,13,-17
9,15,-17
7,15,-17
7,17,-17
5,17,-17
5,19,-17
3,19,-17
3,21,-17
1,21,-17
1,23,-17
-1,23,-17
-1,23,-15
-3,23,-15
-3,21,-15
-5,21,-15
-5,19,-15
-7,19,-15
-7,17,-15
-9,17,-15
-9,15,-15
-11,15,-15
-11,13,-15
-13,13,-15
-13,11,-15
-15,11,-15
-15,9,-15
-17,9,-15
-17,7,-15
-19,7,-15
-19,5,-15
-21,5,-15
-21,3,-15
-23,3,-15
-23,1,-15
-25,1,-15
-25,-1,-15
-23,-1,-15
-23,-3,-15
-21,-3,-15
-21,-5,-15
-19,-5,-15
-19,-7,-15
-17,-7,-15
-17,-9,-15
-15,-9,-15
-15,-11,-15
-13,-11,-15
-13,-13,-15
-11,-13,-15
-11,-15,-15
-9,-15,-15
-9,-17,-15
-7,-17,-15
-7,-19,-15
-5,-19,-15
-5,-21,-15
-3,-21,-15
-3,-23,-15
-1,-23,-15
-1,-25,-15
1,-25,-15
1,-23,-15
3,-23,-15
3,-21,-15
5,-21,-15
5,-19,-15
7,-19,-15
7,-17,-15
9,-17,-15
9,-15,-15
11,-15,-15
11,-13,-15
13,-13,-15
13,-11,-15
15,-11,-15
15,-9,-15
17,-9,-15
17,-7,-15
19,-7,-15
19,-5,-15
21,-5,-15
21,-3,-15
23,-3,-15
23,-1,-15
25,-1,-15
25,1,-15
25,1,-13
25,3,-13
25,3,-11
25,5,-11
23,5,-11
23,7,-11
21,7,-11
21,9,-11
19,9,-11
19,11,-11
17,11,-11
17,13,-11
15,13,-11
15,15,-11
13,15,-11
13,17,-11
11,17,-11
11,19,-11
9,19,-11
9,21,-11
7,21,-11
7,23,-11
5,23,-11
5,25,-11
3,25,-11
3,27,-11
1,27,-11
1,29,-11
-1,29,-11
-1,29,-9
-3,29,-9
-3,27,-9
-5,27,-9
-5,25,-9
-7,25,-9
-7,23,-9
-9,23,-9
-9,21,-9
-11,21,-9
-11,19,-9
-13,19,-9
-13,17,-9
-15,17,-9
-15,15,-9
-17,15,-9
-17,13,-9
-19,13,-9
-19,11,-9
-21,11,-9
-21,9,-9
-23,9,-9
-23,7,-9
-25,7,-9
-25,5,-9
-27,5,-9
-27,3,-9
-29,3,-9
-29,1,-9
-31,1,-9
-31,-1,-9
-29,-1,-9
-29,-3,-9
-27,-3,-9
-27,-5,-9
-25,-5,-9
-25,-7,-9
-23,-7,-9
-23,-9,-9
-21,-9,-9
-21,-11,-9
-19,-11,-9
-19,-13,-9
-17,-13,-9
-17,-15,-9
-15,-15,-9
-15,-17,-9
-13,-17,-9
-13,-19,-9
-11,-19,-9
-11,-21,-9
-9,-21,-9
-9,-23,-9
-7,-23,-9
-7,-25,-9
-5,-25,-9
-5,-27,-9
-3,-27,-9
-3,-29,-9
-1,-29,-9
-1,-31,-9
1,-31,-9
1,-29,-9
3,-29,-9
3,-27,-9
5,-27,-9
5,-25,-9
7,-25,-9
7,-23,-9
9,-23,-9
9,-21,-9
11,-21,-9
11,-19,-9
13,-19,-9
13,-17,-9
15,-17,-9
15,-15,-9
17,-15,-9
17,-13,-9
19,-13,-9
19,-11,-9
21,-11,-9
21,-9,-9
23,-9,-9
23,-7,-9
25,-7,-9
25,-5,-9
27,-5,-9
27,-3,-9
29,-3,-9
29,-1,-9
31,-1,-9
31,1,-9
31,1,-7
31,3,-7
31,3,-5
31,5,-5
29,5,-5
29,7,-5
27,7,-5
27,9,-5
25,9,-5
25,11,-5
23,11,-5
23,13,-5
21,13,-5
21,15,-5
19,15,-5
19,17,-5
17,17,-5
17,19,-5
15,19,-5
15,21,-5
13,21,-5
13,23,-5
11,23,-5
11,25,-5
9,25,-5
9,27,-5
7,27,-5
7,29,-5
5,29,-5
5,31,-5
3,31,-5
3,33,-5
1,33,-5
1,35,-5
-1,35,-5
-1,35,-3
-3,35,-3
-3,33,-3
-5,33,-3
-5,31,-3
-7,31,-3
-7,29,-3
-9,29,-3
-9,27,-3
-11,27,-3
-11,25,-3
-13,25,-3
-13,23,-3
-15,23,-3
-15,21,-3
-17,21,-3
-17,19,-3
-19,19,-3
-19,17,-3
-21,17,-3
-21,15,-3
-23,15,-3
-23,13,-3
-25,13,-3
-25,11,-3
-27,11,-3
-27,9,-3
-29,9,-3
-29,7,-3
-31,7,-3
-31,5,-3
-33,5,-3
-33,3,-3
-35,3,-3
-35,1,-3
-37,1,-3
-37,-1,-3
-35,-1,-3
-35,-3,-3
-33,-3,-3
-33,-5,-3
-31,-5,-3
-31,-7,-3
-29,-7,-3
-29,-9,-3
-27,-9,-3
-27,-11,-3
-25,-11,-3
-25,-13,-3
-23,-13,-3
-23,-15,-3
-21,-15,-3
-21,-17,-3
-19,-17,-3
-19,-19,-3
-17,-19,-3
-17,-21,-3
-15,-21,-3
-15,-23,-3
-13,-23,-3
-13,-25,-3
-11,-25,-3
-11,-27,-3
-9,-27,-3
-9,-29,-3
-7,-29,-3
-7,-31,-3
-5,-31,-3
-5,-33,-3
-3,-33,-3
-3,-35,-3
-1,-35,-3
-1,-37,-3
1,-37,-3
1,-35,-3
3,-35,-3
3,-33,-3
5,-33,-3
5,-31,-3
7,-31,-3
7,-29,-3
9,-29,-3
9,-27,-3
11,-27,-3
11,-25,-3
13,-25,-3
13,-23,-3
15,-23,-3
15,-21,-3
17,-21,-3
17,-19,-3
19,-19,-3
19,-17,-3
21,-17,-3
21,-15,-3
23,-15,-3
23,-13,-3
25,-13,-3
25,-11,-3
27,-11,-3
27,-9,-3
29,-9,-3
29,-7,-3
31,-7,-3
31,-5,-3
33,-5,-3
33,-3,-3
35,-3,-3
35,-1,-3
37,-1,-3
37,1,-3
37,1,-1
37,3,-1
37,3,1
37,1,1
37,1,3
37,-1,3
35,-1,3
35,-3,3
33,-3,3
33,-5,3
31,-5,3
31,-7,3
29,-7,3
29,-9,3
27,-9,3
27,-11,3
25,-11,3
25,-13,3
23,-13,3
23,-15,3
21,-15,3
21,-17,3
19,-17,3
19,-19,3
17,-19,3
17,-21,3
15,-21,3
15,-23,3
13,-23,3
13,-25,3
11,-25,3
11,-27,3
9,-27,3
9,-29,3
7,-29,3
7,-31,3
5,-31,3
5,-33,3
3,-33,3
3,-35,3
1,-35,3
1,-37,3
-1,-37,3
-1,-35,3
-3,-35,3
-3,-33,3
-5,-33,3
-5,-31,3
-7,-31,3
-7,-29,3
-9,-29,3
-9,-27,3
-11,-27,3
-11,-25,3
-13,-25,3
-13,-23,3
-15,-23,3
-15,-21,3
-17,-21,3
-17,-19,3
-19,-19,3
-19,-17,3
-21,-17,3
-21,-15,3
-23,-15,3
-23,-13,3
-25,-13,3
-25,-11,3
-27,-11,3
-27,-9,3
-29,-9,3
-29,-7,3
-31,-7,3
-31,-5,3
-33,-5,3
-33,-3,3
-35,-3,3
-35,-1,3
-37,-1,3
-37,1,3
-35,1,3
-35,3,3
-33,3,3
-33,5,3
-31,5,3
-31,7,3
-29,7,3
-29,9,3
-27,9,3
-27,11,3
-25,11,3
-25,13,3
-23,13,3
-23,15,3
-21,15,3
-21,17,3
-19,17,3
-19,19,3
-17,19,3
-17,21,3
-15,21,3
-15,23,3
-13,23,3
-13,25,3
-11,25,3
-11,27,3
-9,27,3
-9,29,3
-7,29,3
-7,31,3
-5,31,3
-5,33,3
-3,33,3
-3,35,3
-1,35,3
-1,35,5
1,35,5
1,33,5
3,33,5
3,31,5
5,31,5
5,29,5
7,29,5
7,27,5
9,27,5
9,25,5
11,25,5
11,23,5
13,23,5
13,21,5
15,21,5
15,19,5
17,19,5
17,17,5
19,17,5
19,15,5
21,15,5
21,13,5
23,13,5
23,11,5
25,11,5
25,9,5
27,9,5
27,7,5
29,7,5
29,5,5
31,5,5
31,3,5
31,3,7
31,1,7
31,1,9
31,-1,9
29,-1,9
29,-3,9
27,-3,9
27,-5,9
25,-5,9
25,-7,9
23,-7,9
23,-9,9
21,-9,9
21,-11,9
19,-11,9
19,-13,9
17,-13,9
17,-15,9
15,-15,9
15,-17,9
13,-17,9
13,-19,9
11,-19,9
11,-21,9
9,-21,9
9,-23,9
7,-23,9
7,-25,9
5,-25,9
5,-27,9
3,-27,9
3,-29,9
1,-29,9
1,-31,9
-1,-31,9
